普安            ,	2495
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,435426,235591,199835,198741,1094,39488,30148,0.11,30148,0,2835947
2013 Q2,393884,235651,158233,180974,-22741,15459,-10591,-0.04,19557,0,2824957
2013 Q3,397860,213975,183885,183622,263,7308,4936,0.02,24493,0,2824957
2013 Q4,1697869,913524,784345,750204,34141,89797,47191,0.17,47191,0,2824957
2014 Q1,368360,198237,170123,166848,3275,19973,19191,0.07,19191,0,2824957
2014 Q2,383185,217888,165297,170271,-4974,-6011,-11207,-0.04,7984,0,2834135
2014 Q3,433179,243962,189217,159904,29313,44114,60926,0.21,68910,0,2834135
2014 Q4,1720005,936379,783626,667004,116622,109657,188383,0.67,188383,0,2833597
2015 Q1,392526,194762,197764,154313,43451,8631,43155,0.15,43155,0,2839654
2015 Q2,407684,214133,193551,163924,29627,6348,27542,0.10,70697,0,2839654
