嘉澤            ,	3533
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,1711100,1188739,522361,337760,184601,62524,183342,1.98,184760,-1418,934779
2013 Q2,1873627,1309119,564508,405794,158714,26610,125839,1.37,312539,-3358,934779
2013 Q3,2158940,1563400,595540,410949,184591,-29862,86729,0.97,403536,-7626,934779
2013 Q4,8061960,5571869,2490091,1607197,882894,66621,715265,7.76,725350,-10085,934779
2014 Q1,1934001,1215443,718558,415053,303505,53515,287462,3.09,288450,-988,934779
2014 Q2,2114342,1416213,698129,415786,282343,13898,178685,1.93,469115,-2968,934779
2014 Q3,2176610,1402999,773611,433050,340561,66736,306748,3.28,775807,-2912,934779
2014 Q4,8303956,5469944,2834012,1729723,1104289,262164,1073896,11.53,1077576,-3680,934779
2015 Q1,1851138,1209398,641740,471915,169825,54581,182913,1.99,185731,-2818,934779
2015 Q2,1835891,1240955,594936,483272,111664,41430,74352,0.85,264940,-7675,934779
2015 Q3,2250139,1497865,752274,497534,254740,153957,303749,3.30,573769,-12755,934779
2015 Q4,8196917,5431963,2764954,1984746,780208,310245,780382,8.52,796260,-15878,934779
