燦星網          ,	4930
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,2974739,2513477,461262,444374,16888,34860,43850,0.04,11746,32104,2686000
2013 Q2,3151052,2823068,327984,429163,-101179,37211,-55617,-0.22,-47970,36203,2686000
2013 Q3,4075610,3556470,519140,454586,64554,71927,96342,0.10,-20945,105520,2686000
2013 Q4,13933957,12228119,1705838,1828980,-123142,198607,62710,-0.30,-79919,142629,2686000
2014 Q1,3035613,2632670,402943,396316,6627,5192,18694,-0.05,-13887,32581,2686000
2014 Q2,3186869,2740938,445931,437421,8510,54404,29821,0.02,-8127,56642,2686000
2014 Q3,3842586,3307615,534971,465577,69394,97588,141924,0.26,57791,132648,1343000
2014 Q4,13666409,11801231,1865178,1754137,111041,984304,1025897,3.68,854939,170958,1343000
2015 Q1,3294820,2881082,413738,460637,-46899,75665,28396,0.00,241,28155,1343000
2015 Q2,3123763,2681727,442036,475518,-33482,41274,-45551,-0.41,-55212,38057,1343000
2015 Q3,4011129,3480171,530958,503858,27100,9884,25651,0.00,-55229,63725,1343000
2015 Q4,13663084,11808467,1854617,1990863,-136246,212746,-23029,-0.61,-81322,58293,1343000
