科納-KY         ,	4984
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,199194,151518,47676,70587,-22911,2145,-18006,-0.40,450888
2013 Q2,225334,168942,56392,71532,-15140,4121,-12811,-0.28,451440
2013 Q3,307288,206451,100837,81183,19654,1660,23885,0.53,451584
2013 Q4,988975,691627,297348,289497,7851,10063,2035,0.05,451601
2014 Q1,259179,153723,105456,83783,21673,1313,15161,0.34,451601
2014 Q2,262956,154275,108681,79158,29523,2502,17224,0.38,451626
2014 Q3,279629,166970,112659,86230,26429,3816,49960,1.10,453059
2014 Q4,1116147,653156,462991,350015,112976,10802,112416,2.49,453214
2015 Q1,242925,145663,97262,86890,10372,5714,10809,0.24,453214
