寶隆            ,	1906
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,138366,118095,20271,21522,-1251,-9702,-10953,-0.07,-10931,-22,1510000
2013 Q2,166836,143971,22865,22713,152,37939,38091,0.23,22935,4203,1510000
2013 Q3,113923,94465,19458,19385,73,-15983,-15910,-0.11,7052,4176,1510000
2013 Q4,503879,424044,79835,80149,-314,4633,4319,0.00,157,4162,1510000
2014 Q1,97274,79565,17709,18946,-1237,132553,131316,0.82,121874,9442,1510000
2014 Q2,121555,100896,20659,21967,-1308,110040,97924,0.61,213306,15934,1510000
2014 Q3,109047,88546,20501,19770,731,-18076,-17256,-0.12,195390,16594,1510000
2014 Q4,434047,355950,78097,79761,-1664,204696,192319,1.18,175758,16561,1510000
2015 Q1,87271,70396,16875,17961,-1086,-20468,-21554,-0.14,-21514,-40,1510000
2015 Q2,66274,51726,14548,16094,-1546,132983,115555,0.72,85771,8230,1510000
2015 Q3,91061,72183,18878,17259,1619,-8108,-6489,-0.04,79308,8204,1510000
2015 Q4,321120,255582,65538,65863,-325,103647,87439,0.53,79282,8157,1510000
2016 Q1,205577,180600,24977,23592,1385,-28922,-27537,-0.18,-27515,-22,1510000
