台苯            ,	1310
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,4958708,4788389,170319,117309,53018,-25089,25820,0.04,21471,4349,5027331
2013 Q2,5526378,5169193,357185,98578,258607,-44826,213844,0.45,250117,-10453,5027331
2013 Q3,5523448,4877789,645659,121546,524113,10045,537203,1.07,790386,-13519,5027331
2013 Q4,21756532,20282879,1473653,443596,1030057,-100920,1018643,2.16,1085976,-67333,5027331
2014 Q1,5258276,5164364,93912,87838,6074,9427,12758,0.02,12311,447,5027331
2014 Q2,4587215,4569264,17951,77799,-59848,385589,301513,0.63,324827,-10556,5027331
2014 Q3,4496697,4595338,-98641,76697,-175338,36470,-90406,-0.18,231848,-7983,5278698
2014 Q4,17028183,17176342,-148159,341416,-489575,82956,-51916,-0.07,-38456,-13460,5278698
2015 Q1,2268323,2142872,125451,65897,59554,-15801,29497,0.05,27115,2382,5278698
2015 Q2,4200884,3486996,713888,109378,604510,-24877,477723,0.96,534034,-26814,5278698
