楠梓電          ,	2316
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,1359386,1286141,73245,109912,-36667,75522,46464,0.15,46464,0,3186883
2013 Q2,1454295,1317770,136525,118103,18422,72411,50446,0.16,96910,96910,3188824
2013 Q3,1624682,1430431,194251,127250,67001,73701,119848,0.38,216758,216758,3189868
2013 Q4,6137422,5519166,618256,500132,118124,214353,274373,0.87,274373,274373,3191206
2014 Q1,1519520,1343099,176421,132883,43538,54566,84093,0.27,84093,0,3191206
2014 Q2,1790793,1529468,261325,154089,107236,-1386,94366,0.30,178459,178459,3191206
2014 Q3,1906099,1666166,239933,141691,98242,-25257,62024,0.20,240483,240483,3191206
2014 Q4,7330236,6424686,905550,569636,335914,83394,364110,1.15,364110,364110,3191206
2015 Q1,1749805,1554856,194949,126022,68927,326704,343151,1.08,343151,0,3191206
2015 Q2,1540177,1343905,196272,123545,72727,5156249,4279739,13.49,4622890,4622890,3191206
2015 Q3,1493046,1337269,155777,120678,35099,332498,336390,1.06,4959280,4959280,3191206
2015 Q4,6161592,5467390,694202,491794,202408,5862042,4727902,15.03,4727902,4727902,3083126
