嘉彰            ,	4942
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,2038005,1686824,351181,204949,146232,15358,121361,0.80,122222,-861,1523046
2013 Q2,2153334,1783056,370278,222922,147356,-50243,35407,0.23,157736,-968,1523046
2013 Q3,2619829,2161256,458573,241988,216585,-3220,171320,1.13,329267,-1179,1523046
2013 Q4,9555626,7912721,1642905,936263,706642,-38524,497173,3.27,498501,-1328,1523046
2014 Q1,2321792,1948162,373630,229944,143686,49942,158202,1.04,158318,-116,1523046
2014 Q2,2352941,2016199,336742,233903,102839,-13674,39131,0.26,197567,-234,1523046
2014 Q3,2501651,2098216,403435,257522,145913,24626,112957,0.74,310616,-326,1523046
2014 Q4,9440661,8001757,1438904,989927,448977,87039,393411,2.59,393741,-330,1523046
2015 Q1,1881576,1703932,177644,226740,-49096,20288,-40264,-0.26,-40301,37,1523046
2015 Q2,1791045,1579720,211325,220278,-8953,6771,-38589,-0.25,-78927,74,1523046
2015 Q3,1618553,1469421,149132,254141,-105009,-184127,-345510,-2.27,-424474,111,1523046
2015 Q4,7035332,6309112,726220,945590,-219370,-215884,-531432,-3.49,-529762,-1670,1492026
