豐藝            ,	6189
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,4873793,4445397,428396,239136,189260,11785,151897,0.83,149483,2414,1790452
2013 Q2,4773662,4362381,411281,218997,192284,13113,172443,0.96,319652,4688,1790452
2013 Q3,5063970,4655969,408001,204136,203865,-22952,146490,0.80,462568,8262,1790452
2013 Q4,20164047,18526350,1637697,917176,720521,10124,587042,3.23,578656,8386,1790452
2014 Q1,4548933,4136489,412444,224979,187465,21388,179001,0.98,175148,3853,1790452
2014 Q2,5222854,4764905,457949,237003,220946,-24043,154801,0.85,327538,6264,1790452
2014 Q3,5350806,4912352,438454,243351,195103,958,160419,0.88,485009,9212,1790452
2014 Q4,20455178,18688295,1766883,1013953,752930,25194,637552,3.48,622771,14781,1790452
2015 Q1,4246062,3828484,417578,224467,193111,-17130,144315,0.78,140002,4313,1790452
2015 Q2,4283678,3943452,340226,203200,137026,-10615,101982,0.54,237523,8774,1790452
2015 Q3,4483139,4022097,461042,268599,192443,52163,215042,1.17,446158,15181,1790452
