明基材          ,	8215
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,4406225,4117907,288318,208077,80241,90334,166226,0.52,166226,0,3206745
2013 Q2,5029098,4298161,730937,263914,467023,-18931,419959,1.31,586185,0,3206745
2013 Q3,4458989,3830183,628806,202939,425867,-4768,431108,1.34,1017293,0,3206745
2013 Q4,18065124,15778554,2286570,935639,1350931,87137,1416963,4.42,1416963,0,3206745
2014 Q1,4027617,3326326,701291,268042,433249,-53056,380193,1.19,380193,0,3206745
2014 Q2,4246710,3621329,625381,301940,323441,-4605,319101,1.00,699294,0,3206745
2014 Q3,4138634,3615047,523587,263288,260299,-76764,171918,0.54,871212,0,3206745
2014 Q4,16517112,14278199,2238913,1082629,1156284,-80989,1060022,3.31,1060022,0,3206745
2015 Q1,3839473,3237514,601959,406546,195413,27027,217176,0.68,217176,0,3206745
2015 Q2,3703018,3133845,569173,401156,168017,37653,147566,0.46,364742,0,3206745
2015 Q3,3600245,2987975,612270,394574,217696,-97153,116788,0.36,481530,0,3206745
2015 Q4,14628865,12408057,2220808,1567653,653155,-75508,505933,1.58,505933,0,3206745
2016 Q1,3181987,2796141,385846,343229,42617,-113904,-76111,-0.24,-76111,-76111,3206745
