基泰            ,	2538
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,16873,12433,4440,22371,-17931,56950,39019,0.10,39019,0,3966191
2013 Q2,292614,269076,23538,24249,-711,68436,54443,0.14,93462,93462,4032180
2013 Q3,1529131,814651,714480,116971,597509,5768,558971,1.37,652433,652433,4076972
2013 Q4,2610254,1515540,1094714,273354,821360,141514,896368,2.22,896368,896368,4087754
2014 Q1,163717,74882,88835,32253,56582,-1497,54961,0.13,54961,0,4087754
2014 Q2,1984617,543891,1440726,159355,1281371,-40583,1181978,2.89,1236939,1236939,4087754
2014 Q3,3411,1090,2321,34372,-32051,95877,63815,0.16,1300754,1300754,4087754
2014 Q4,2305411,744088,1561323,325626,1235697,148785,1301486,3.18,1301486,1301486,4089644
2015 Q1,2215206,1467989,747217,208952,538265,-5753,521790,1.27,522852,-1062,4100193
2015 Q2,2892420,1244761,1647659,251986,1395673,-27374,1252429,3.00,1777385,-3166,4190253
2015 Q3,60468,28477,31991,44739,-12748,111791,98762,0.23,1877463,-4482,4200437
