華擎            ,	3515
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,2993375,2391593,601782,269747,332035,26602,288344,2.51,288344,0,1150416
2013 Q2,2284875,1723306,561569,268497,293072,58990,287483,2.50,576196,-369,1150416
2013 Q3,2656349,2074578,581771,294342,287429,13146,269719,2.36,847316,-1770,1150416
2013 Q4,10360980,8131567,2229413,1074968,1154445,112696,1058037,9.23,1061415,-3378,1150416
2014 Q1,2670653,2113936,556717,289710,267007,21488,251548,2.21,253786,-2238,1150416
2014 Q2,1994180,1609101,385079,269594,115485,-134018,-19316,-0.12,240599,-8367,1150416
2014 Q3,2329836,1910330,419506,314733,104773,48101,145497,1.31,390624,-12895,1150416
2014 Q4,8906989,7269744,1637245,1064894,572351,-4986,488206,4.40,506102,-17896,1150416
2015 Q1,1834163,1439209,394954,291590,103364,-12967,77840,0.77,88797,-10957,1150416
2015 Q2,1498775,1184876,313899,272819,41080,17144,24367,0.28,120515,-18308,1150416
2015 Q3,1873994,1465631,408363,315025,93338,-25461,49667,0.55,183326,-31452,1150416
2015 Q4,7217149,5797341,1419808,1066181,353627,-21417,206131,2.09,240754,-34623,1150416
2016 Q1,1836166,1449232,386934,292456,94478,-7574,66017,0.67,76599,-10582,1150416
