佳龍,	9955
Year,最高價,日期,最低價,日期,收盤平均價
2008,89.80,5/20,27.00,11/21,57.64
2009,68.50,10/15,26.80,1/21,48.89
2010,65.10,1/06,47.10,2/06,53.70
2011,52.30,1/04,26.55,12/14,40.05
2012,35.10,2/29,22.25,6/04,27.26
2013,29.80,1/11,19.25,8/22,22.81
2014,24.55,1/15,16.90,12/01,20.47
2015,20.45,4/24,11.05,8/25,15.83
2016,19.85,8/19,11.45,1/26,14.94
2017,18.15,2/09,12.80,8/01,14.67
2018,16.80,1/08,11.55,10/25,13.25
