大統益,	1232
Year,最高價,日期,最低價,日期,收盤平均價
2000,15.40,4/20,10.40,10/03,13.19
2001,14.45,12/18,12.20,7/02,13.38
2002,23.00,7/05,14.00,1/10,18.29
2003,22.40,1/17,18.70,4/28,19.81
2004,24.50,3/09,16.50,12/22,19.49
2005,18.70,6/27,15.00,10/20,16.68
2006,21.00,12/29,15.95,1/19,17.82
2007,34.00,10/01,20.20,1/11,26.49
2008,48.35,5/23,20.00,10/28,32.58
2009,40.40,10/26,23.80,2/02,33.34
2010,55.70,11/12,35.10,2/06,41.75
2011,56.10,2/10,45.80,10/04,50.71
2012,52.80,10/05,46.20,1/16,50.41
2013,69.00,10/31,51.10,1/11,56.79
2014,83.50,5/09,60.30,2/13,71.01
2015,81.00,3/23,66.50,8/25,74.14
2016,88.50,10/05,72.90,1/18,79.96
2017,96.20,6/28,84.10,1/03,90.34
2018,102.00,9/26,89.90,2/21,95.00
2019,132.50,6/24,97.70,1/04,114.83
