中探針,	6217
Year,最高價,日期,最低價,日期,收盤平均價
2003,38.30,02/17,28.00,12/23,32.30
2004,32.20,03/19,13.75,12/10,24.05
2005,14.75,01/03,5.76,05/05,11.07
2006,18.00,04/07,10.05,02/23,12.76
2007,17.80,07/09,7.17,12/21,12.99
2008,9.18,04/11,3.54,11/25,6.90
2009,23.00,12/25,3.68,02/10,15.96
2010,74.40,04/20,20.40,01/29,48.22
2011,53.30,03/09,22.20,08/11,38.63
2012,49.25,03/19,24.30,01/16,42.68
2013,37.60,02/18,23.15,07/09,30.29
2014,48.60,12/29,31.00,01/06,40.62
2015,58.10,12/03,37.00,08/26,48.75
2016,49.25,03/21,33.45,11/17,42.38
2017,41.00,02/24,32.45,12/13,37.29
