日勝化,	1735
Year,最高價,日期,最低價,日期,收盤平均價
2002,39.40,12/13,30.10,10/14,34.33
2003,37.50,1/15,23.00,9/12,27.81
2004,27.40,2/09,17.10,11/01,21.18
2005,19.50,1/06,12.80,12/14,16.22
2006,16.40,12/29,12.25,1/25,13.38
2007,18.60,7/26,11.10,12/24,14.72
2008,20.20,5/22,5.86,9/18,10.90
2009,18.55,12/31,5.96,1/13,10.94
2010,23.50,4/16,13.65,11/29,16.98
2011,17.40,4/14,9.05,11/24,12.46
2012,12.80,12/28,9.50,10/26,10.98
2013,13.90,2/19,11.65,8/27,12.42
2014,13.90,7/04,10.15,11/13,12.06
2015,13.10,3/30,10.10,8/24,11.72
2016,16.10,4/19,11.50,1/20,12.65
2017,19.40,11/30,12.15,7/19,14.09
