麗豐-KY,	4137
Year,最高價,日期,最低價,日期,收盤平均價
2013,363.50,12/18,235.00,11/27,325.66
2014,331.00,1/03,128.00,11/18,224.48
2015,383.00,11/27,142.00,3/12,223.83
2016,349.50,1/11,121.00,11/17,200.93
2017,167.50,12/13,95.10,8/14,133.10
2018,344.50,7/16,125.00,2/09,225.71
2019,316.00,2/13,198.00,9/09,252.85
