康和證,	6016
Year,最高價,日期,最低價,日期,收盤平均價
2000,27.10,02/18,5.25,12/27,14.08
2001,11.00,03/30,5.40,09/21,7.44
2002,14.30,04/22,6.50,09/25,9.35
2003,9.45,01/24,6.05,05/12,7.42
2004,18.20,03/04,8.30,01/02,11.61
2005,11.40,01/03,6.67,10/24,8.92
2006,10.50,05/08,7.20,07/24,8.18
2007,20.45,07/25,8.50,05/18,12.49
2008,18.55,04/11,5.85,10/27,11.72
2009,13.00,12/31,5.91,01/21,10.13
2010,13.00,01/04,8.43,06/09,10.48
2011,11.70,01/03,5.70,12/19,9.05
2012,8.60,02/10,5.73,06/04,6.93
2013,8.78,05/31,6.54,01/02,7.76
2014,9.58,01/10,7.36,10/16,8.49
2015,8.60,04/28,5.60,08/25,7.33
2016,7.11,01/30,5.70,06/27,6.60
2017,9.91,12/01,6.21,01/17,8.22
