鈺德,	3050
Year,最高價,日期,最低價,日期,收盤平均價
2002,70.00,11/18,34.00,12/31,53.34
2003,40.50,7/17,21.60,5/05,32.06
2004,38.00,3/15,13.15,11/30,24.42
2005,16.00,3/11,5.90,10/20,11.05
2006,9.73,11/20,3.78,9/15,6.06
2007,13.70,7/26,7.70,3/01,10.07
2008,10.65,3/06,3.00,11/21,7.14
2009,14.90,8/13,4.42,1/05,9.73
2010,18.75,1/18,9.48,11/25,13.60
2011,11.75,1/10,4.00,12/20,7.63
2012,8.93,3/02,4.55,1/10,5.97
2013,8.30,6/06,5.11,3/21,6.32
2014,8.45,2/25,5.65,12/01,6.92
2015,10.20,11/23,6.21,4/27,7.39
2016,14.35,8/03,7.52,1/18,10.46
2017,13.35,9/07,8.90,5/10,10.58
2018,16.05,6/05,7.39,10/12,10.81
