信義,	9940
Year,最高價,日期,最低價,日期,收盤平均價
2001,16.20,12/13,9.65,10/12,13.22
2002,41.10,11/18,14.90,1/02,30.43
2003,82.50,12/03,32.30,5/02,49.34
2004,109.00,3/03,47.00,8/18,75.90
2005,87.50,3/10,52.00,9/22,66.89
2006,91.40,5/08,55.20,2/24,74.86
2007,141.00,7/27,67.00,12/21,96.09
2008,138.00,3/31,19.50,11/21,76.04
2009,72.60,5/26,23.55,1/20,49.40
2010,65.80,1/05,48.10,7/30,57.98
2011,72.60,6/29,35.60,12/20,51.85
2012,49.50,3/22,36.80,7/16,41.56
2013,58.00,5/28,42.30,1/07,50.85
2014,57.90,3/27,33.30,10/22,44.51
2015,37.15,2/24,25.70,7/09,30.75
2016,34.00,12/06,25.70,1/29,28.45
2017,39.60,11/27,31.10,8/21,34.11
