大統新創,	1470
Year,最高價,日期,最低價,日期,收盤平均價
2000,25.00,2/18,7.65,11/13,15.49
2001,8.65,1/03,5.20,12/03,6.96
2002,9.60,4/11,5.60,1/28,7.26
2003,10.20,2/07,5.00,5/21,6.38
2004,8.40,2/12,4.45,12/29,5.78
2005,4.75,1/04,3.00,11/18,3.78
2006,5.46,5/03,3.29,1/12,4.31
2007,7.60,7/20,4.39,3/28,5.63
2008,9.70,12/31,4.35,1/30,6.77
2009,10.70,12/02,5.75,6/18,7.88
2010,13.25,4/30,8.51,2/05,10.28
2011,18.10,5/13,10.45,9/14,12.30
2012,15.60,3/07,10.90,11/02,12.47
2013,17.30,11/27,11.35,3/20,14.26
2014,23.80,8/04,15.10,2/07,17.85
2015,23.30,4/30,15.25,8/27,18.34
2016,22.00,8/17,16.20,2/16,18.75
2017,20.25,2/06,16.70,8/17,18.58
2018,20.90,11/27,15.60,10/30,17.87
