味王,	1203
Year,最高價,日期,最低價,日期,收盤平均價
2000,18.80,4/07,5.50,10/20,12.97
2001,7.70,2/20,2.37,10/26,5.76
2002,10.35,8/05,2.64,7/05,7.01
2003,12.35,11/17,5.95,4/30,8.87
2004,18.50,3/09,9.45,8/18,12.24
2005,13.20,1/04,7.89,5/16,9.57
2006,16.65,12/18,9.70,6/09,11.76
2007,33.70,7/19,13.40,3/05,19.42
2008,30.10,4/16,8.78,10/28,18.71
2009,27.95,7/06,11.40,3/04,21.36
2010,29.40,1/18,21.50,2/06,24.99
2011,27.35,8/03,18.40,12/19,22.50
2012,23.90,9/27,18.55,5/25,20.58
2013,26.50,10/30,20.00,4/12,22.29
2014,26.30,7/24,21.40,5/30,23.56
2015,24.80,5/04,19.20,9/02,22.52
2016,23.30,12/08,21.00,3/25,22.05
2017,26.00,5/31,22.50,11/01,24.32
2018,28.30,1/12,24.20,10/29,25.76
