東鹼,	1708
Year,最高價,日期,最低價,日期,收盤平均價
2000,18.10,2/21,7.40,12/28,10.84
2001,11.95,5/03,4.56,10/16,7.21
2002,8.85,4/25,4.65,10/14,6.30
2003,7.60,12/30,4.96,4/29,6.06
2004,10.50,3/15,6.60,7/20,8.01
2005,9.76,9/29,6.56,4/27,8.26
2006,16.25,12/28,9.03,1/02,12.26
2007,27.30,10/29,15.85,1/11,19.57
2008,78.20,5/21,15.90,10/30,38.24
2009,41.70,6/06,24.10,1/21,30.61
2010,41.95,10/15,26.90,2/06,33.66
2011,42.30,2/10,27.70,8/09,34.71
2012,37.50,3/06,30.50,10/29,33.43
2013,34.35,5/31,30.75,11/18,32.05
2014,44.80,8/29,30.80,4/25,35.99
2015,48.30,4/30,29.30,8/25,36.95
2016,32.80,3/08,24.00,11/09,27.49
2017,32.90,8/22,26.40,8/11,29.00
