士電,	1503
Year,最高價,日期,最低價,日期,收盤平均價
2000,43.00,2/18,17.00,12/01,25.22
2001,23.10,2/06,12.00,7/25,16.80
2002,20.60,4/26,14.25,10/08,16.97
2003,20.60,10/21,14.50,4/28,17.83
2004,26.20,3/10,18.60,8/05,21.03
2005,32.00,8/15,20.90,1/07,24.97
2006,40.20,5/10,23.25,3/15,30.57
2007,40.00,7/25,29.60,12/18,33.78
2008,46.00,5/26,19.15,10/28,34.25
2009,45.25,6/02,25.50,3/03,36.63
2010,43.70,1/06,33.75,6/30,37.27
2011,40.85,1/03,29.55,12/19,34.41
2012,37.45,10/08,31.10,1/02,34.51
2013,38.65,10/15,33.15,3/19,36.19
2014,41.90,8/13,35.45,4/28,38.64
2015,41.80,5/12,36.90,7/29,39.52
2016,40.95,8/17,38.30,9/14,39.74
2017,43.40,2/15,39.40,5/10,41.08
2018,54.90,9/18,39.20,10/30,41.49
