福壽,	1219
Year,最高價,日期,最低價,日期,收盤平均價
2000,10.00,2/23,4.19,11/20,5.98
2001,5.60,2/21,4.08,10/11,4.64
2002,6.55,4/25,4.10,9/25,4.91
2003,6.75,1/22,4.36,5/02,5.16
2004,9.65,3/18,5.35,1/02,6.66
2005,6.80,1/04,4.51,10/28,5.27
2006,10.00,12/26,4.52,7/17,5.46
2007,16.70,7/19,7.40,1/15,10.30
2008,21.50,5/22,6.01,10/28,11.49
2009,13.65,12/24,6.42,3/03,10.38
2010,15.50,11/10,10.20,2/06,13.06
2011,18.20,9/16,13.75,3/15,15.80
2012,17.25,3/19,13.70,5/21,15.55
2013,18.80,10/30,14.25,11/14,15.11
2014,18.15,7/09,14.30,2/21,15.56
2015,16.45,5/07,13.45,8/24,14.91
2016,16.50,11/03,13.00,1/30,15.24
2017,19.00,7/13,15.60,2/09,17.12
2018,19.15,5/22,17.20,2/06,18.32
