寶徠,	1805
Year,最高價,日期,最低價,日期,收盤平均價
2000,7.15,2/14,1.55,12/06,3.96
2001,3.92,12/19,0.91,10/15,2.01
2002,5.05,2/22,2.10,10/14,3.23
2003,3.61,1/24,0.54,9/19,1.54
2004,2.52,2/24,0.76,9/22,1.29
2005,1.96,1/24,0.90,12/26,1.32
2006,21.65,12/26,0.88,4/24,1.76
2007,17.40,1/02,8.38,11/21,11.13
2008,10.20,1/21,2.93,12/11,7.83
2009,8.50,10/16,3.22,7/14,5.47
2010,13.40,9/24,4.74,6/14,7.95
2011,18.10,9/09,10.60,6/27,15.30
2012,19.80,4/30,12.50,12/22,15.54
2013,18.30,5/24,11.20,2/05,14.53
2014,16.60,1/13,10.40,10/21,12.53
2015,10.80,1/05,6.51,12/15,8.30
2016,7.78,4/08,5.20,11/11,6.21
2017,15.35,10/18,5.40,1/12,11.29
2018,15.45,5/23,8.71,12/21,11.84
2019,12.90,2/13,8.55,12/13,9.66
