立隆電,	2472
Year,最高價,日期,最低價,日期,收盤平均價
2001,63.50,12/13,34.50,10/09,48.22
2002,71.50,1/22,21.50,12/20,45.71
2003,27.90,6/20,17.80,10/09,21.38
2004,22.50,3/08,10.70,12/03,15.31
2005,15.70,7/11,9.80,2/03,12.57
2006,20.40,12/29,10.20,6/09,13.49
2007,29.60,6/15,10.10,12/19,20.37
2008,12.60,4/28,4.10,11/18,8.45
2009,17.90,12/25,5.17,2/11,9.19
2010,28.70,8/10,12.65,2/06,21.04
2011,24.95,1/28,11.80,12/20,19.41
2012,19.40,3/14,10.00,10/29,13.90
2013,26.25,12/23,11.90,1/02,17.72
2014,47.25,8/12,24.90,1/02,36.52
2015,44.50,3/20,16.80,8/25,31.60
2016,42.80,7/19,27.15,1/18,37.12
2017,67.90,12/25,36.70,5/11,43.52
