興農,	1712
Year,最高價,日期,最低價,日期,收盤平均價
2000,10.35,2/22,3.51,9/20,6.14
2001,8.50,4/24,3.60,10/09,5.10
2002,8.25,4/25,3.80,9/30,5.50
2003,8.80,11/06,4.50,5/02,6.75
2004,12.75,3/02,6.30,8/18,8.58
2005,8.55,1/03,4.90,10/20,6.61
2006,11.55,12/20,5.01,3/22,6.50
2007,15.00,7/19,7.75,12/18,10.82
2008,22.70,5/22,7.57,10/28,12.16
2009,18.10,6/02,8.00,1/21,13.07
2010,16.15,8/13,11.90,2/06,13.90
2011,15.10,1/17,10.00,9/29,12.97
2012,15.00,12/18,11.80,1/17,13.31
2013,18.10,11/29,13.90,1/28,15.23
2014,19.15,6/09,15.50,12/01,17.17
2015,17.95,4/28,11.55,8/24,15.26
2016,15.60,9/07,12.20,2/01,14.43
2017,18.60,10/11,14.80,7/27,16.32
2018,17.80,6/11,15.75,2/09,17.03
