久正,	6167
Year,最高價,日期,最低價,日期,收盤平均價
2002,39.20,04/15,14.90,12/30,21.42
2003,28.40,12/30,12.80,03/17,16.93
2004,30.90,04/05,12.85,11/02,20.22
2005,14.60,01/03,6.12,08/31,9.83
2006,14.80,12/11,7.21,06/14,9.68
2007,24.35,07/25,8.88,12/21,16.22
2008,14.65,04/10,1.73,11/24,7.23
2009,6.50,12/23,1.87,01/21,4.72
2010,7.81,01/19,2.66,06/10,5.44
2011,5.17,01/03,1.38,08/10,2.51
2012,3.15,09/06,1.85,01/16,2.48
2013,2.71,05/23,1.73,08/26,2.08
2014,4.50,04/24,1.91,01/02,3.08
2015,7.98,05/04,2.70,08/25,5.14
2016,8.80,08/05,3.96,01/18,6.78
2017,10.25,03/15,6.38,01/03,8.63
