邦泰,	8935
Year,最高價,日期,最低價,日期,收盤平均價
2002,41.50,04/16,16.20,11/11,24.09
2003,23.20,02/18,10.05,12/18,14.87
2004,18.20,02/27,4.50,09/07,9.89
2005,13.10,12/14,6.25,02/23,9.00
2006,20.05,05/15,12.80,11/21,14.58
2007,15.75,07/06,6.98,12/18,12.22
2008,8.96,04/14,2.06,11/20,5.53
2009,15.60,11/06,1.99,01/20,9.50
2010,14.15,03/18,9.80,02/06,11.79
2011,12.80,02/17,3.64,11/24,10.10
2012,6.80,02/21,3.51,11/23,4.92
2013,8.00,11/04,3.76,04/15,4.82
2014,10.25,03/06,6.81,01/02,8.46
2015,8.72,05/08,5.58,12/14,7.48
2016,8.11,07/05,4.91,01/21,6.64
2017,10.40,11/06,5.10,07/27,7.32
