承啟,	2425
Year,最高價,日期,最低價,日期,收盤平均價
2000,33.20,9/11,8.85,12/19,15.66
2001,32.20,4/24,9.00,1/03,19.30
2002,37.80,2/20,9.00,12/24,18.89
2003,13.80,6/20,8.00,4/04,9.84
2004,12.75,4/22,3.76,10/04,7.46
2005,7.90,7/13,3.64,10/28,4.66
2006,30.00,12/05,3.91,2/24,10.66
2007,26.50,1/02,5.81,12/21,15.51
2008,8.61,3/10,1.78,10/27,4.81
2009,24.80,12/31,2.50,2/10,9.13
2010,26.50,1/04,9.55,11/09,16.11
2011,16.20,12/30,5.39,10/20,8.34
2012,48.65,11/20,13.60,1/06,33.38
2013,52.00,9/11,38.00,1/31,43.60
2014,59.40,4/10,26.40,12/01,38.03
2015,33.85,4/14,10.80,8/07,22.13
2016,26.45,9/08,17.30,4/13,20.96
2017,23.20,2/24,14.85,12/06,17.58
2018,54.20,9/06,14.90,1/10,31.75
2019,39.20,1/02,25.70,10/04,30.38
