聯華,	1229
Year,最高價,日期,最低價,日期,收盤平均價
2000,28.30,2/21,7.50,12/22,14.37
2001,11.30,2/20,4.40,7/19,6.90
2002,12.20,4/25,6.05,1/02,8.33
2003,11.20,11/06,6.70,4/30,8.76
2004,15.80,3/05,8.55,5/18,11.32
2005,13.85,1/03,10.15,4/18,11.45
2006,19.60,12/07,11.05,3/23,14.33
2007,24.35,10/02,14.75,12/18,17.89
2008,26.60,5/26,8.55,10/28,17.12
2009,18.15,6/02,10.40,1/21,14.33
2010,26.30,11/10,13.75,2/06,18.71
2011,25.20,1/04,15.80,10/04,20.31
2012,20.90,3/05,16.60,6/04,18.73
2013,20.55,4/26,18.20,8/28,19.31
2014,22.35,7/28,18.70,4/28,20.05
2015,21.90,7/03,17.40,8/25,20.33
2016,22.85,12/02,18.30,1/27,20.72
2017,36.90,12/29,22.00,1/03,27.98
