萬泰科,	6190
Year,最高價,日期,最低價,日期,收盤平均價
2002,9.85,11/12,5.15,10/14,6.93
2003,21.20,03/13,7.30,01/06,13.55
2004,35.20,04/02,10.40,12/03,19.40
2005,12.60,02/21,7.62,10/28,9.67
2006,22.70,12/25,9.23,01/23,14.86
2007,29.65,07/26,16.20,12/18,23.23
2008,19.30,05/22,4.79,12/08,13.27
2009,17.90,12/31,4.51,01/16,12.06
2010,19.00,04/21,13.85,11/15,16.67
2011,15.10,03/25,7.40,12/19,12.85
2012,10.45,03/19,5.05,11/21,7.83
2013,7.54,05/17,5.70,01/02,6.79
2014,11.10,03/05,6.52,01/03,9.11
2015,8.15,01/12,4.77,08/25,6.87
2016,13.40,10/03,5.20,05/06,11.02
2017,16.55,02/20,11.85,01/17,14.32
