裕民,	2606
Year,最高價,日期,最低價,日期,收盤平均價
2000,16.40,2/22,6.45,11/21,10.56
2001,9.90,4/03,5.30,7/19,7.77
2002,12.95,12/24,6.15,9/25,8.24
2003,37.20,12/01,9.50,3/12,19.39
2004,61.00,3/10,34.00,5/18,47.18
2005,57.40,3/07,31.40,10/28,44.13
2006,44.45,12/29,31.00,1/24,36.22
2007,123.50,10/29,44.30,1/02,73.83
2008,118.50,5/20,31.40,10/28,72.53
2009,73.60,6/02,38.40,1/21,58.03
2010,71.50,1/06,53.80,2/06,63.06
2011,63.60,1/19,40.00,11/23,54.38
2012,52.50,3/16,43.00,11/19,46.93
2013,55.20,9/26,43.05,6/24,47.97
2014,53.80,1/02,44.45,10/17,49.24
2015,49.90,1/05,23.90,12/14,39.83
2016,30.45,3/08,21.05,11/09,24.41
2017,41.20,8/22,24.70,1/06,32.75
2018,39.95,2/01,28.95,7/09,34.05
