濟生,	4111
Year,最高價,日期,最低價,日期,收盤平均價
2002,18.00,08/20,15.00,12/24,16.21
2003,17.40,04/24,14.05,09/26,15.81
2004,21.20,03/02,15.50,01/15,18.09
2005,18.10,02/16,15.00,12/29,16.53
2006,16.50,05/09,12.20,09/19,14.32
2007,37.95,07/18,14.25,03/03,19.61
2008,20.00,04/25,10.60,11/24,14.22
2009,20.70,10/20,10.95,01/21,17.62
2010,33.10,12/07,15.40,02/06,27.04
2011,30.90,01/05,12.50,12/20,25.23
2012,32.15,08/30,14.60,01/13,27.20
2013,35.55,03/04,25.60,01/17,30.30
2014,45.50,03/20,28.70,02/05,38.65
2015,34.20,03/23,16.20,08/25,26.69
2016,27.65,02/01,20.95,11/14,23.78
2017,27.80,06/23,21.60,01/20,24.83
