欣銓,	3264
Year,最高價,日期,最低價,日期,收盤平均價
2005,32.50,12/23,14.45,01/13,21.69
2006,41.50,04/20,23.85,06/21,29.47
2007,37.50,07/10,18.60,12/20,29.37
2008,26.15,05/16,9.98,11/24,19.24
2009,21.70,12/31,10.15,01/21,16.71
2010,32.50,12/24,19.60,01/08,25.47
2011,35.30,01/19,16.30,08/22,25.34
2012,24.80,02/09,17.85,11/22,21.46
2013,22.75,12/19,17.70,08/28,19.99
2014,29.40,07/04,21.95,01/02,26.15
2015,31.00,03/23,16.80,08/24,25.54
2016,25.00,10/07,17.30,05/13,22.09
2017,42.60,11/22,22.95,01/24,32.31
