系統電,	5309
Year,最高價,日期,最低價,日期,收盤平均價
2000,23.00,02/16,3.68,12/07,10.93
2001,16.10,06/19,3.80,01/02,8.96
2002,12.40,04/04,4.95,10/14,7.81
2003,10.00,12/29,4.80,04/30,6.49
2004,18.60,04/05,9.45,08/18,12.38
2005,22.25,12/29,9.68,06/02,11.93
2006,23.30,01/05,12.90,09/15,17.12
2007,18.10,07/27,6.31,12/21,12.00
2008,8.09,03/05,3.94,09/18,6.04
2009,14.30,12/31,4.51,03/03,10.33
2010,21.70,07/30,10.10,02/06,16.16
2011,15.25,03/04,5.40,11/23,12.15
2012,9.70,03/09,5.00,08/09,7.63
2013,14.80,10/09,7.20,01/02,10.56
2014,17.85,10/07,11.25,01/27,14.65
2015,20.80,12/01,11.30,07/24,17.18
2016,20.25,03/23,8.81,11/24,16.28
2017,11.90,02/10,8.25,05/09,10.02
