聯昌,	2431
Year,最高價,日期,最低價,日期,收盤平均價
2000,21.00,9/11,8.30,12/28,12.43
2001,27.80,4/26,6.80,9/24,14.37
2002,28.20,1/29,11.30,10/14,17.79
2003,16.50,1/14,12.00,9/15,13.44
2004,14.95,2/10,7.35,11/02,10.37
2005,15.85,4/14,7.40,1/27,11.45
2006,12.80,1/06,7.40,9/15,9.88
2007,15.60,7/26,9.17,12/20,11.74
2008,12.30,5/22,3.57,10/28,7.93
2009,25.40,12/31,3.92,2/02,12.91
2010,26.80,1/04,16.25,5/10,20.62
2011,18.30,1/13,6.25,11/24,11.51
2012,11.45,3/20,5.84,11/22,7.48
2013,18.20,12/31,6.46,1/09,9.45
2014,30.30,4/23,16.55,10/16,24.02
2015,31.00,3/24,9.14,8/25,18.86
2016,16.35,9/30,12.10,5/16,13.83
2017,19.25,9/18,13.70,1/24,15.69
