鑽全,	1527
Year,最高價,日期,最低價,日期,收盤平均價
2000,123.50,6/21,37.00,11/21,62.29
2001,59.00,2/09,30.20,10/08,43.50
2002,65.00,4/17,43.50,1/17,52.43
2003,74.00,8/28,52.50,1/08,62.41
2004,78.00,2/09,59.00,3/23,68.65
2005,81.70,4/01,68.00,1/20,75.60
2006,78.10,1/12,35.85,9/15,51.41
2007,62.50,7/04,38.20,12/18,45.46
2008,42.70,1/04,11.00,10/29,26.69
2009,35.40,10/19,14.40,2/02,25.74
2010,37.40,1/06,24.50,11/09,29.68
2011,29.30,5/23,13.80,9/13,21.74
2012,25.40,3/27,16.10,11/01,20.68
2013,38.50,8/23,17.40,1/17,26.16
2014,49.70,7/29,29.50,2/05,38.46
2015,71.10,11/09,33.95,8/24,48.34
2016,118.00,8/30,55.60,1/14,81.32
2017,102.00,3/24,63.20,12/27,85.92
