大將,	1453
Year,最高價,日期,最低價,日期,收盤平均價
2000,8.55,2/22,2.87,11/23,4.62
2001,15.80,4/25,3.50,1/02,8.45
2002,12.30,4/04,3.50,10/11,6.91
2003,11.20,12/29,2.20,5/22,4.02
2004,12.00,2/11,3.59,11/29,6.73
2005,4.27,2/22,1.71,11/11,2.76
2006,4.25,12/15,0.92,9/07,2.03
2007,6.30,3/23,2.80,1/09,4.14
2008,12.30,5/23,2.73,2/19,5.89
2009,9.63,9/23,5.21,3/02,7.61
2010,17.25,8/06,8.20,2/08,10.95
2011,13.30,5/20,7.87,8/09,9.62
2012,12.30,10/15,8.50,7/26,9.14
2013,12.30,6/11,9.50,3/13,10.51
2014,10.80,6/24,8.40,11/06,9.75
2015,15.30,6/17,6.96,8/25,9.21
2016,9.39,3/28,7.50,2/23,8.16
2017,10.85,11/13,7.55,8/18,8.21
2018,12.30,4/23,8.17,10/12,9.50
2019,9.87,3/20,7.80,8/06,8.70
