台富,	1454
Year,最高價,日期,最低價,日期,收盤平均價
2000,13.75,2/22,4.69,11/22,8.52
2001,7.70,1/12,4.44,8/20,5.78
2002,9.25,3/26,5.20,9/09,6.25
2003,7.40,1/27,4.75,4/28,5.52
2004,9.50,4/14,5.30,8/18,6.57
2005,6.55,1/04,3.87,9/16,5.03
2006,6.30,12/21,3.95,9/15,4.70
2007,9.25,7/19,5.10,3/22,6.63
2008,8.38,5/23,3.70,10/28,6.35
2009,7.50,12/28,4.00,2/18,5.66
2010,9.51,10/06,6.30,5/07,7.90
2011,12.50,5/06,7.00,12/20,9.11
2012,8.64,9/28,6.50,11/01,7.32
2013,8.68,12/26,6.92,2/05,7.35
2014,8.48,1/02,7.35,10/27,8.05
2015,14.85,4/28,7.82,1/06,10.28
2016,9.74,3/18,7.82,11/15,8.70
2017,8.99,2/09,8.12,7/24,8.45
2018,8.66,1/17,7.31,10/12,8.20
2019,8.46,3/22,7.66,11/19,8.02
