德記,	5902
Year,最高價,日期,最低價,日期,收盤平均價
2000,18.30,04/13,8.90,01/04,13.76
2001,12.40,03/19,5.55,09/27,8.56
2002,9.90,04/24,6.20,01/02,8.45
2003,9.20,01/13,5.00,05/22,6.51
2004,10.60,02/11,5.90,12/09,7.58
2005,6.90,01/03,3.53,12/22,4.83
2006,10.00,12/29,3.38,04/10,5.77
2007,12.10,07/26,7.07,12/26,9.36
2008,8.41,04/11,2.62,11/20,6.12
2009,14.60,11/16,1.92,05/13,3.76
2010,16.65,09/21,9.60,02/06,13.57
2011,13.85,07/22,8.20,12/19,11.39
2012,14.30,09/12,8.38,01/13,12.21
2013,31.10,07/23,12.85,01/09,21.75
2014,23.95,02/12,12.40,12/19,18.34
2015,16.45,04/29,9.00,10/20,12.11
2016,14.00,06/03,9.50,01/11,12.00
2017,16.35,04/21,11.75,12/05,13.27
