廣運,	6125
Year,最高價,日期,最低價,日期,收盤平均價
2002,58.00,04/12,21.40,01/23,37.73
2003,46.00,08/01,22.80,02/25,31.99
2004,39.90,01/05,19.30,08/12,26.25
2005,50.50,07/27,19.60,01/14,35.14
2006,51.40,04/20,34.35,09/22,41.13
2007,64.00,07/27,35.40,12/18,45.68
2008,52.00,05/19,19.35,10/29,36.12
2009,37.60,06/04,20.75,02/02,28.96
2010,35.80,01/19,21.70,05/26,28.62
2011,30.10,04/06,9.82,11/24,23.54
2012,16.70,02/16,8.15,11/01,12.20
2013,15.95,11/05,9.89,07/04,12.47
2014,17.50,03/27,12.20,12/01,15.52
2015,16.00,01/15,8.90,08/25,13.52
2016,14.25,03/11,9.99,11/14,12.34
2017,13.25,11/30,9.17,08/16,11.31
