台光電,	2383
Year,最高價,日期,最低價,日期,收盤平均價
2000,67.50,4/24,16.70,12/28,42.37
2001,35.50,2/20,6.40,9/24,17.84
2002,21.00,4/25,6.90,12/31,12.66
2003,10.75,6/20,5.35,5/02,7.74
2004,14.20,4/15,8.15,7/07,10.35
2005,14.40,12/30,6.60,5/18,8.58
2006,20.60,1/17,11.20,6/21,15.78
2007,19.80,8/07,10.00,12/21,16.18
2008,16.30,5/23,4.36,11/21,10.56
2009,26.80,9/16,4.81,1/15,16.74
2010,37.85,4/30,20.90,1/27,28.65
2011,34.20,4/08,17.05,12/20,26.51
2012,31.70,9/13,18.50,1/03,27.05
2013,30.80,3/11,23.85,10/24,27.24
2014,42.10,12/08,25.00,1/02,31.85
2015,77.40,8/11,39.25,1/08,58.28
2016,92.10,9/06,49.80,1/18,71.68
2017,167.50,8/21,89.10,1/03,124.87
2018,115.50,1/15,54.10,10/26,85.44
