亞諾法,	4133
Year,最高價,日期,最低價,日期,收盤平均價
2009,128.00,12/28,107.00,12/29,114.38
2010,121.00,9/17,81.80,6/30,98.08
2011,94.00,5/05,39.05,12/20,69.03
2012,60.90,2/14,40.55,6/04,48.38
2013,58.40,4/09,43.10,12/17,47.94
2014,47.30,2/27,29.50,10/17,39.53
2015,40.50,11/23,22.60,8/25,31.69
2016,40.30,6/04,27.50,5/12,33.81
2017,44.00,10/12,32.80,6/22,36.82
2018,40.00,3/30,27.65,10/25,34.59
2019,33.30,2/20,25.25,12/31,28.50
