新巨,	2420
Year,最高價,日期,最低價,日期,收盤平均價
2000,36.60,10/16,17.00,12/28,24.83
2001,31.60,4/25,9.20,10/15,19.45
2002,36.70,5/09,18.10,1/03,26.67
2003,33.90,7/25,21.00,4/01,25.69
2004,28.00,3/05,13.50,8/18,19.90
2005,23.85,12/26,15.00,1/28,18.79
2006,38.75,12/20,20.35,1/23,25.61
2007,51.50,1/23,19.90,12/18,35.57
2008,23.70,1/02,8.03,11/21,16.28
2009,25.65,12/31,8.48,1/21,13.99
2010,30.50,3/23,21.55,2/06,25.28
2011,29.85,6/08,17.70,8/09,23.44
2012,26.10,3/22,19.60,10/30,22.39
2013,38.45,12/26,20.90,1/17,28.01
2014,60.60,4/21,29.65,10/17,44.25
2015,53.20,4/09,29.45,8/25,42.57
2016,49.00,3/17,31.80,11/09,38.74
2017,40.90,3/27,33.65,9/06,36.32
