互盛電,	2433
Year,最高價,日期,最低價,日期,收盤平均價
2000,43.30,9/11,13.80,12/30,26.80
2001,33.60,3/28,5.50,9/24,16.84
2002,18.50,4/03,5.60,12/30,10.02
2003,12.00,12/04,5.50,4/02,7.83
2004,14.80,12/31,9.80,7/20,11.98
2005,14.80,5/03,10.45,10/20,12.93
2006,15.90,11/30,10.50,9/15,12.62
2007,22.50,8/24,13.60,5/04,16.80
2008,25.55,5/19,13.40,11/21,18.73
2009,24.65,12/31,13.05,2/05,17.91
2010,34.90,12/23,18.70,2/06,24.92
2011,39.00,11/03,27.95,7/14,32.02
2012,45.50,3/27,24.00,10/30,33.12
2013,53.70,12/10,28.25,1/17,38.31
2014,53.50,2/20,38.00,8/18,45.41
2015,47.20,5/06,40.05,8/25,44.69
2016,47.65,3/15,37.00,8/17,41.75
2017,44.75,11/08,39.65,1/03,42.24
2018,48.50,4/16,38.40,10/26,44.21
2019,57.30,12/27,41.60,1/04,47.94
