國喬,	1312
Year,最高價,日期,最低價,日期,收盤平均價
2000,39.10,3/30,8.90,12/01,22.66
2001,16.30,2/05,3.90,7/25,7.80
2002,20.90,4/04,6.50,1/02,11.28
2003,20.70,1/16,7.75,5/05,12.92
2004,16.30,1/07,10.65,3/24,13.27
2005,14.10,1/03,7.10,9/28,9.79
2006,12.75,12/05,7.05,7/18,8.70
2007,15.85,10/22,10.00,12/21,12.23
2008,13.40,5/21,3.39,11/24,8.79
2009,17.50,10/30,4.15,2/03,11.04
2010,21.40,12/31,11.10,5/26,15.56
2011,24.00,2/09,11.30,10/04,17.20
2012,16.50,9/20,11.00,6/05,14.08
2013,25.70,10/11,14.60,4/09,18.68
2014,24.55,1/06,11.90,10/17,17.49
2015,21.80,6/11,12.80,12/14,17.22
2016,23.30,12/09,13.40,1/18,16.92
2017,33.35,12/29,18.60,5/09,22.91
