元禎,	1725
Year,最高價,日期,最低價,日期,收盤平均價
2000,28.00,10/06,24.20,11/23,26.10
2001,27.20,1/02,21.80,7/25,24.20
2002,25.80,4/25,19.50,9/19,22.19
2003,26.00,8/05,21.10,12/26,22.82
2004,26.20,3/11,17.40,11/03,20.40
2005,21.00,8/16,16.45,10/06,17.89
2006,19.70,12/26,15.50,9/01,17.50
2007,35.20,7/26,19.05,12/20,25.22
2008,32.75,5/22,12.10,10/27,20.09
2009,21.45,5/26,15.40,3/03,17.45
2010,34.40,8/18,16.05,2/09,22.94
2011,24.90,1/14,15.50,11/24,20.26
2012,18.30,2/20,13.00,6/04,15.26
2013,15.95,11/27,12.70,7/05,14.06
2014,17.00,9/05,12.90,10/27,14.91
2015,16.65,5/12,10.60,8/24,14.15
2016,15.30,3/15,12.70,11/09,13.54
2017,15.70,11/23,13.70,8/14,14.41
2018,20.25,7/09,13.45,10/30,16.03
2019,15.80,7/29,14.00,1/17,14.72
