翔耀,	2438
Year,最高價,日期,最低價,日期,收盤平均價
2000,37.80,9/11,10.35,12/30,18.92
2001,28.70,4/25,7.20,10/08,15.16
2002,21.80,4/25,8.45,12/20,13.52
2003,15.10,11/17,7.55,5/02,10.72
2004,18.30,3/01,7.30,11/01,11.73
2005,15.10,7/29,6.60,1/07,10.44
2006,13.85,4/20,8.01,9/15,10.50
2007,14.25,7/11,7.69,12/18,11.04
2008,9.60,4/11,0.40,11/24,4.93
2009,2.15,11/02,0.38,2/03,0.91
2010,6.35,12/16,1.02,5/07,1.56
2011,6.00,1/20,1.61,11/28,3.62
2012,4.24,11/26,1.36,7/18,1.99
2013,4.68,5/24,2.07,12/11,3.13
2014,12.15,11/21,2.34,1/03,6.91
2015,17.30,4/14,9.78,1/20,13.40
2016,15.80,3/31,7.80,11/29,12.67
2017,11.30,3/09,6.50,12/05,8.42
2018,11.50,3/06,6.02,11/21,8.22
2019,9.70,12/17,5.76,11/01,6.87
