彩晶,	6116
Year,最高價,日期,最低價,日期,收盤平均價
2004,13.00,9/08,9.10,11/08,10.60
2005,12.50,2/14,6.10,10/27,9.08
2006,7.99,1/02,4.04,8/29,5.56
2007,16.90,11/02,4.92,3/07,8.77
2008,15.30,4/23,3.15,11/21,9.75
2009,9.03,5/18,3.75,3/03,6.67
2010,8.70,1/04,5.33,5/25,6.36
2011,5.96,1/05,1.20,12/20,3.70
2012,4.10,3/08,1.49,9/06,2.53
2013,15.95,6/07,3.12,1/10,9.50
2014,12.90,7/01,6.80,10/16,10.07
2015,8.40,1/05,2.57,8/24,5.40
2016,10.40,11/22,2.88,5/16,5.58
2017,13.80,9/06,7.63,5/12,9.58
2018,11.05,1/16,6.48,12/25,8.62
2019,8.72,4/16,5.64,8/06,6.91
