創見,	2451
Year,最高價,日期,最低價,日期,收盤平均價
2001,96.50,5/04,26.00,10/18,51.80
2002,125.50,3/13,59.00,10/14,88.88
2003,93.50,7/08,53.00,4/02,71.97
2004,107.00,4/06,61.00,10/27,76.39
2005,97.00,3/14,53.90,10/28,75.21
2006,98.10,9/11,49.40,3/27,71.36
2007,180.00,7/24,84.00,1/08,117.68
2008,126.50,5/13,36.10,11/21,80.27
2009,122.50,9/02,57.60,1/13,92.63
2010,124.00,1/04,69.10,11/02,91.17
2011,90.30,1/24,57.10,9/26,75.53
2012,90.90,2/08,72.20,11/01,79.99
2013,105.50,4/23,79.50,1/14,90.81
2014,113.50,6/05,85.70,1/02,99.71
2015,122.00,5/05,68.10,8/24,99.21
2016,107.50,3/03,79.10,11/17,91.61
2017,104.50,5/03,80.40,12/15,91.43
2018,89.30,6/19,62.80,10/30,77.75
