永純,	4711
Year,最高價,日期,最低價,日期,收盤平均價
2000,29.30,02/14,14.70,12/30,20.85
2001,17.50,02/08,10.00,11/28,12.70
2002,19.70,03/29,10.25,12/31,12.15
2003,12.35,01/17,8.45,08/27,9.31
2004,13.10,05/28,9.20,01/02,10.68
2005,11.05,02/02,9.51,07/15,10.23
2006,20.65,12/20,10.30,01/25,13.99
2007,33.00,07/16,15.10,12/20,23.27
2008,18.95,04/21,9.85,12/12,14.40
2009,21.50,12/15,10.30,02/18,17.60
2010,29.40,04/15,19.00,11/04,24.10
2011,22.90,02/18,14.80,12/19,20.51
2012,18.35,02/09,14.40,11/07,16.55
2013,22.80,06/28,14.80,12/19,18.99
2014,17.60,03/24,13.40,12/17,15.72
2015,15.25,04/08,10.40,08/25,13.28
2016,27.00,09/29,11.30,01/14,21.65
2017,22.60,02/09,16.40,12/15,20.47
