力泰,	5520
Year,最高價,日期,最低價,日期,收盤平均價
2000,27.00,02/14,15.70,12/27,21.68
2001,22.80,06/28,12.60,09/25,15.67
2002,24.00,04/26,15.00,11/12,18.27
2003,17.00,01/20,13.60,12/15,14.82
2004,18.50,02/17,13.30,08/04,14.83
2005,16.10,01/03,9.00,11/18,13.90
2006,18.20,12/19,10.30,04/19,13.75
2007,31.00,08/13,16.00,02/12,22.69
2008,29.50,05/20,15.90,10/28,21.79
2009,28.00,12/01,17.35,02/23,24.98
2010,29.00,01/25,22.60,08/09,25.82
2011,26.75,05/10,19.10,12/27,24.16
2012,29.20,12/19,19.35,01/11,22.84
2013,30.00,12/31,26.10,04/17,28.70
2014,34.00,07/09,25.80,10/13,28.86
2015,28.40,11/06,22.05,08/24,26.47
2016,29.70,03/25,24.40,11/03,26.98
2017,30.25,06/09,26.00,07/13,27.12
