菱生,	2369
Year,最高價,日期,最低價,日期,收盤平均價
2000,41.40,4/11,10.70,12/28,26.30
2001,21.20,2/20,6.65,9/24,12.75
2002,19.70,4/18,6.80,10/08,11.90
2003,18.50,10/21,7.10,1/02,12.85
2004,26.80,4/13,12.90,12/01,17.64
2005,14.90,7/29,7.50,10/20,11.49
2006,13.70,1/04,8.40,6/09,10.46
2007,19.80,8/14,11.10,1/31,15.18
2008,15.50,1/02,5.03,11/21,10.29
2009,16.20,12/15,5.52,1/21,10.34
2010,25.90,12/28,13.15,2/06,19.31
2011,27.85,2/14,12.10,12/20,19.79
2012,21.65,2/22,12.80,1/02,16.48
2013,18.10,5/06,14.60,1/17,15.86
2014,22.25,3/13,13.10,11/18,17.29
2015,15.90,1/08,6.30,8/25,11.63
2016,12.65,10/05,7.76,1/18,9.91
2017,18.20,9/28,11.45,1/18,14.68
2018,16.15,1/22,8.10,10/30,11.62
2019,11.15,12/26,8.16,5/21,9.19
