江申,	1525
Year,最高價,日期,最低價,日期,收盤平均價
2000,30.60,2/21,10.60,11/22,19.60
2001,15.80,2/06,10.00,7/24,12.69
2002,35.20,12/19,11.10,1/18,22.41
2003,40.70,8/04,28.50,4/28,34.21
2004,38.90,2/17,24.50,12/01,30.14
2005,36.50,2/21,21.50,11/08,26.28
2006,30.20,4/27,20.10,3/07,23.42
2007,27.20,7/12,19.90,12/18,23.94
2008,22.60,5/20,10.60,11/20,17.51
2009,63.10,12/11,11.40,1/21,23.20
2010,68.30,4/23,37.40,6/10,51.76
2011,71.60,5/16,34.70,12/19,51.73
2012,55.40,9/14,37.60,1/02,46.12
2013,99.40,12/30,37.10,6/21,47.58
2014,96.50,1/08,48.55,10/27,71.94
2015,94.00,12/01,52.00,8/25,71.94
2016,158.00,9/08,70.10,1/12,115.54
2017,130.00,5/25,90.50,12/27,107.92
2018,94.30,1/18,49.00,10/30,71.48
2019,73.50,4/01,50.70,8/26,58.93
