廣明,	6188
Year,最高價,日期,最低價,日期,收盤平均價
2002,295.00,09/12,170.00,10/14,237.80
2003,378.00,07/10,151.00,04/28,208.91
2004,207.00,01/27,27.70,11/15,91.91
2005,48.50,09/06,29.50,01/27,40.86
2006,62.00,05/15,38.30,03/15,48.61
2007,64.20,07/10,40.45,12/21,50.24
2008,45.50,04/21,20.40,12/23,35.19
2009,70.20,10/07,24.00,01/05,54.06
2010,65.30,01/19,31.10,11/26,48.74
2011,32.85,01/21,16.90,12/20,25.10
2012,26.50,02/14,16.15,11/22,22.03
2013,33.15,07/10,17.50,01/17,28.84
2014,44.40,06/06,30.90,01/02,38.47
2015,37.00,01/05,16.00,08/25,26.31
2016,33.70,09/22,19.80,05/16,27.15
2017,47.65,06/05,29.80,01/17,40.13
