科嘉-KY,	5215
Year,最高價,日期,最低價,日期,收盤平均價
2011,40.80,12/29,37.65,12/27,38.75
2012,82.20,3/16,34.00,1/03,52.42
2013,48.30,1/03,19.00,11/22,33.00
2014,63.80,9/09,23.70,2/05,34.84
2015,56.20,3/18,24.25,8/25,41.46
2016,41.45,3/22,26.50,11/04,32.93
2017,37.25,5/03,26.05,12/11,30.27
2018,31.30,12/12,22.65,10/12,25.86
