台苯,	1310
Year,最高價,日期,最低價,日期,收盤平均價
2000,63.50,1/28,16.70,11/08,36.45
2001,31.00,1/29,9.80,7/25,17.50
2002,41.90,4/03,16.30,1/02,27.96
2003,42.60,1/16,21.00,5/05,30.65
2004,37.20,1/07,21.00,5/18,26.49
2005,25.20,1/03,14.00,10/20,17.95
2006,17.65,1/10,11.85,6/12,13.90
2007,19.45,7/16,12.35,12/18,15.04
2008,16.40,5/22,6.07,10/28,11.03
2009,14.60,6/01,6.69,3/03,11.65
2010,20.10,1/19,11.50,5/26,14.86
2011,16.25,1/04,6.33,11/24,11.12
2012,10.90,10/08,6.14,6/04,7.66
2013,24.50,10/08,6.13,1/16,15.39
2014,25.10,1/09,11.55,10/16,16.49
2015,17.45,12/30,10.75,8/25,14.33
2016,22.05,12/07,14.45,5/13,17.13
2017,25.45,3/23,19.10,8/18,21.88
2018,28.50,12/07,19.45,2/09,22.72
2019,25.50,4/24,20.55,12/17,23.26
