聯成,	1313
Year,最高價,日期,最低價,日期,收盤平均價
2000,30.20,1/29,3.86,11/24,15.19
2001,8.50,2/20,3.20,7/20,5.17
2002,16.00,12/11,5.10,1/02,11.15
2003,20.50,1/14,8.55,5/02,14.17
2004,17.10,2/11,10.00,6/17,13.12
2005,14.35,1/19,9.31,10/26,11.63
2006,17.70,12/29,9.50,3/17,11.71
2007,28.30,10/02,15.40,12/21,19.67
2008,23.80,5/23,6.54,10/28,15.45
2009,17.90,5/27,8.70,3/03,13.65
2010,25.75,12/23,14.05,2/06,19.36
2011,25.75,1/04,12.60,10/05,20.10
2012,19.70,2/06,14.60,10/29,16.44
2013,17.40,1/07,13.50,8/29,15.19
2014,14.65,1/13,9.90,10/27,12.44
2015,12.15,5/04,8.00,8/25,10.30
2016,13.65,12/12,8.03,1/18,9.80
2017,19.60,12/07,12.40,1/10,14.75
2018,21.60,5/21,10.75,10/26,16.91
2019,13.50,3/22,9.82,8/15,11.38
