金山電,	8042
Year,最高價,日期,最低價,日期,收盤平均價
2004,29.50,04/12,21.90,10/01,24.51
2005,23.60,01/03,13.25,12/07,18.41
2006,43.00,12/29,14.50,01/02,27.03
2007,45.00,01/02,18.00,12/28,30.69
2008,25.70,06/19,10.25,12/24,17.40
2009,59.10,09/22,9.77,01/21,41.57
2010,65.90,04/22,43.05,02/09,53.79
2011,57.60,06/08,25.85,12/19,46.29
2012,44.90,04/02,27.70,01/02,37.06
2013,51.70,10/03,36.80,01/09,44.45
2014,67.00,04/02,45.10,11/18,56.25
2015,54.40,03/06,30.00,08/25,45.45
2016,64.80,12/07,36.50,01/07,50.96
2017,70.00,12/25,49.50,08/14,58.72
