達運,	6120
Year,最高價,日期,最低價,日期,收盤平均價
2006,36.80,9/26,28.80,12/13,33.81
2007,46.80,4/27,15.15,12/21,35.02
2008,20.95,4/23,4.05,11/26,12.93
2009,46.00,12/31,5.33,1/21,22.26
2010,46.50,1/04,26.50,8/31,34.02
2011,31.95,3/09,13.30,8/09,22.33
2012,22.75,2/15,13.80,10/29,16.72
2013,16.20,1/02,9.31,11/19,13.01
2014,14.95,12/25,10.50,10/27,12.55
2015,21.50,4/27,9.68,12/15,14.34
2016,14.20,8/04,7.82,1/18,11.64
2017,37.90,12/29,12.35,7/14,19.25
2018,46.20,1/04,13.50,10/26,24.64
