元隆,	6287
Year,最高價,日期,最低價,日期,收盤平均價
2003,13.95,10/02,10.15,10/24,11.08
2004,22.00,02/10,6.30,12/28,11.49
2005,6.45,01/03,2.90,11/08,4.61
2006,7.11,12/08,3.08,04/04,4.54
2007,20.10,08/10,5.50,03/05,11.55
2008,13.25,01/10,2.90,10/29,7.72
2009,9.98,04/23,4.49,07/09,7.32
2010,15.60,07/13,4.80,02/10,11.19
2011,10.45,02/08,2.80,11/24,6.73
2012,7.50,03/07,2.76,01/12,4.91
2013,6.17,08/22,2.58,07/29,4.34
2014,11.65,03/13,3.83,12/04,8.66
2015,6.18,02/25,2.65,09/02,4.67
2016,3.68,03/07,2.11,06/28,2.78
2017,5.22,10/11,2.39,01/18,3.80
