震旦行,	2373
Year,最高價,日期,最低價,日期,收盤平均價
2000,84.50,4/10,19.10,10/20,50.27
2001,36.30,5/24,6.00,10/09,20.32
2002,15.70,4/17,7.00,8/13,10.32
2003,25.40,7/28,11.60,5/02,18.18
2004,25.40,3/05,16.20,6/30,19.59
2005,20.45,6/27,15.65,10/20,17.71
2006,21.00,1/06,16.20,9/15,18.25
2007,38.40,10/29,18.00,3/05,24.01
2008,32.30,4/23,19.65,9/18,26.52
2009,37.40,11/19,21.70,1/21,30.42
2010,71.00,8/17,34.05,2/05,47.91
2011,62.20,7/26,41.00,9/28,50.99
2012,54.80,3/16,40.15,1/12,46.32
2013,68.20,10/18,42.50,1/08,55.31
2014,65.00,1/06,49.10,10/17,54.77
2015,55.40,4/30,46.50,8/24,52.34
2016,57.40,4/14,47.90,11/09,52.98
2017,95.40,9/30,53.00,1/03,68.00
